valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
0.4831999999999999,0.4284,0.4429999999999999,0.3476,0.3712,0
0.469,0.43675,0.45,0.317,0.4049999999999999,0
0.5,0.364,0.4111666666666667,0.3181666666666666,0.3671666666666666,0
0.4975714285714286,0.4859999999999999,0.4205714285714286,0.3128571428571428,0.3967142857142857,0
0.507625,0.4394999999999999,0.40475,0.362,0.3737499999999999,0
0.5008333333333334,0.4618333333333334,0.3753333333333333,0.335,0.3964999999999999,0
0.517,0.362,0.408,0.366,0.314,0
0.4693333333333333,0.429,0.4303333333333334,0.3413333333333333,0.3803333333333333,0
0.481,0.414,0.429,0.301,0.416,0
0.4768333333333333,0.4653333333333333,0.3996666666666666,0.2945,0.3939999999999999,0
0.4619999999999999,0.48125,0.4059999999999999,0.2815,0.41375,0
0.4816666666666667,0.484,0.4243333333333333,0.2926666666666667,0.403,0
0.5256000000000001,0.4211999999999999,0.3686,0.3172,0.343,0
0.4705454545454545,0.4556363636363636,0.4092727272727273,0.3078181818181817,0.3993636363636363,0
0.5116666666666667,0.3733333333333333,0.3356666666666667,0.289,0.3699999999999999,0
0.483,0.37,0.335,0.297,0.384,0
0.4645,0.4085,0.44,0.302,0.4155,0
0.4535,0.409,0.4395,0.2695,0.4054999999999999,0
0.502,0.299,0.386,0.361,0.346,0
0.4819999999999999,0.4518571428571429,0.4009999999999999,0.3224285714285714,0.3845714285714287,0
0.498,0.324,0.324,0.335,0.268,0
0.518,0.355,0.435,0.411,0.362,0
0.491,0.51,0.411,0.309,0.412,0
0.461,0.3903333333333333,0.4366666666666667,0.2953333333333333,0.4023333333333334,0
0.474,0.4233333333333333,0.4576666666666666,0.311,0.395,0
0.4943333333333333,0.4016666666666666,0.427,0.3646666666666667,0.379,0
0.4603333333333333,0.45,0.4236666666666667,0.3196666666666666,0.4013333333333333,0
0.4915,0.4185,0.361,0.2925,0.399,0
0.4709999999999999,0.4218333333333333,0.4549999999999999,0.336,0.4054999999999999,0
0.468,0.395,0.44,0.3575,0.4024999999999999,0
0.515,0.302,0.351,0.352,0.308,0
0.502,0.47,0.424,0.322,0.442,0
